gene,avg_log2FC,pct.1,pct.2,p_val,p_val_adj,sample,direction
ZWINT,-1.027537985,0.099,0.768,0,0,IR,DOWN
ZWINT,-1.071482316,0.06,0.768,0,0,ETO,DOWN
DKK1,-1.153773171,0.163,0.766,0,0,ETO,DOWN
TOP2A,-1.843114922,0.051,0.766,0,0,IR,DOWN
TOP2A,-1.871057702,0.034,0.766,0,0,ETO,DOWN
INHBA,-1.011729224,0.254,0.764,0,0,ETO,DOWN
DIAPH3,-1.035436019,0.113,0.764,0,0,ETO,DOWN
HIST1H4C,-2.111362633,0.213,0.763,0,0,IR,DOWN
HIST1H4C,-2.127459454,0.182,0.763,0,0,ETO,DOWN
NUSAP1,-1.363001094,0.025,0.761,0,0,IR,DOWN
NUSAP1,-1.369748236,0.014,0.761,0,0,ETO,DOWN
PBK,-1.140796328,0.035,0.745,0,0,IR,DOWN
PBK,-1.203378322,0.007,0.745,0,0,ETO,DOWN
CCNA2,-1.342710809,0.051,0.745,0,0,IR,DOWN
CCNA2,-1.36029743,0.039,0.745,0,0,ETO,DOWN
GLRX,1.45992387,0.803,0.729,0,0,IR,UP
UBE2C,-1.99620196,0.052,0.725,0,0,IR,DOWN
UBE2C,-2.060164349,0.017,0.725,0,0,ETO,DOWN
DLGAP5,-1.271614041,0.021,0.724,0,0,IR,DOWN
DLGAP5,-1.29099053,0.011,0.724,0,0,ETO,DOWN
CDC20,-1.326067211,0.029,0.724,0,0,IR,DOWN
CDC20,-1.35741878,0.011,0.724,0,0,ETO,DOWN
KIF20B,-1.199401261,0.076,0.723,0,0,IR,DOWN
KIF20B,-1.203764664,0.08,0.723,0,0,ETO,DOWN
MKI67,-1.397419255,0.018,0.72,0,0,IR,DOWN
MKI67,-1.405871467,0.003,0.72,0,0,ETO,DOWN
HSPB6,1.274252547,0.77,0.719,0,0,IR,UP
COX14,1.087157015,0.73,0.719,0,0,IR,UP
HMMR,-1.14621281,0.027,0.708,0,0,IR,DOWN
HMMR,-1.179770247,0.007,0.708,0,0,ETO,DOWN
CKAP2,-1.145144928,0.182,0.706,0,0,IR,DOWN
CKAP2,-1.174336952,0.165,0.706,0,0,ETO,DOWN
ASPM,-1.509099489,0.031,0.701,0,0,IR,DOWN
ASPM,-1.51464336,0.02,0.701,0,0,ETO,DOWN
CDCA3,-1.022282314,0.039,0.693,0,0,IR,DOWN
CDCA3,-1.051605892,0.019,0.693,0,0,ETO,DOWN
CCNB2,-1.015328569,0.027,0.692,0,0,ETO,DOWN
ISG15,1.237074126,0.761,0.691,0,0,IR,UP
COPZ2,1.212253852,0.804,0.686,0,0,IR,UP
COPZ2,1.177394529,0.772,0.686,0,0,ETO,UP
IGFBP5,2.034279104,0.833,0.684,0,0,ETO,UP
IGFBP5,1.921673361,0.871,0.684,0,0,IR,UP
IGFBP5,1.65077661,0.912,0.684,0,0,RS,UP
SERPINE2,1.261943898,0.874,0.674,0,0,RS,UP
DEPDC1,-1.007996625,0.009,0.655,0,0,ETO,DOWN
SOD2,1.863774727,0.774,0.649,0,0,ETO,UP
KIF23,-1.012476054,0.05,0.649,0,0,ETO,DOWN
SERINC2,1.069714906,0.733,0.642,0,0,IR,UP
HEBP1,1.043699883,0.705,0.638,0,0,IR,UP
AURKA,-1.057522276,0.16,0.637,0,0,IR,DOWN
AURKA,-1.095625454,0.112,0.637,0,0,ETO,DOWN
DYNLT3,1.010999177,0.912,0.631,0,0,RS,UP
MMP24OS,1.168411744,0.762,0.614,0,0,IR,UP
MMP24OS,1.160153962,0.736,0.614,0,0,ETO,UP
CDKN1A,1.72055093,0.753,0.589,0,0,IR,UP
CDK1,-1.140540522,0.018,0.578,0,0,IR,DOWN
CDK1,-1.149062439,0.007,0.578,0,0,ETO,DOWN
NUPR1,1.333248377,0.808,0.573,0,0,IR,UP
NUPR1,1.198269393,0.747,0.573,0,0,ETO,UP
EPAS1,1.314061743,0.675,0.522,0,0,ETO,UP
EPAS1,1.230921956,0.693,0.522,0,0,IR,UP
HIST1H1C,1.670849506,0.769,0.516,0,0,ETO,UP
HIST1H1C,1.242879414,0.729,0.516,0,0,IR,UP
CLU,1.435282301,0.671,0.5,0,0,IR,UP
F3,1.460726383,0.81,0.438,0,0,RS,UP
NPDC1,1.260387162,0.721,0.417,0,0,IR,UP
NPDC1,1.124299374,0.661,0.417,0,0,ETO,UP
MMP1,1.09269762,0.781,0.343,0,0,RS,UP
PINK1,1.056197759,0.622,0.279,0,0,IR,UP
HIST1H2AC,1.202900867,0.648,0.234,0,0,IR,UP
HIST1H2AC,1.160049498,0.566,0.234,0,0,ETO,UP
GABARAPL1,1.130168382,0.651,0.213,0,0,IR,UP
GABARAPL1,1.001468438,0.575,0.213,0,0,ETO,UP
WFDC1,1.13766753,0.789,0.17,0,0,RS,UP
MTRNR2L12,1.7069019,0.627,0.149,0,0,ETO,UP
TXNIP,1.493514902,0.434,0.115,0,0,ETO,UP
CCL2,1.484849386,0.472,0.115,0,0,IR,UP
PPP1R3C,1.120481849,0.505,0.083,0,0,IR,UP
PPP1R3C,1.062903188,0.413,0.083,0,0,ETO,UP
ARRDC4,1.320512696,0.428,0.038,0,0,ETO,UP
IGFBP2,1.01057519,0.35,0.022,0,0,ETO,UP
CCND2,1.396126289,0.387,0.005,0,0,ETO,UP
CCND2,1.000354834,0.408,0.005,0,0,IR,UP
